Time, Type, Data
18/09/2016 17:16:03.170,RX,02-22-58-79-E0-07-09-12-AB-60-B4-03-DD-79-07-1E-79-E7-A9-C7-9E-7B-EE-BD-07-9F-7C-F5-DD-97-9F-7E-FC-F5-D7-5F-7F-FD-F9-E7-9F-7F-FE-F9-D7-1F-7F-FB-E9-97-1F-7E-F8-E1-87-DF-7D-F6-D5-37-DF-7C-F2-CD-47-1F-7D-F5-D9-67-DF-7D-F8-E5-A7-DF-7E-FC-F5-E7-DF-7F-01-0A-38-E0-80-03-12-58-20-ED-03-02-24-2D-2D-E0-07-09-12-17-5E-B4-03-DD-03-DD-03-DD-03-DD-03-DD-03-DD-03-DD-03-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-67-FD-C2-03
18/09/2016 17:16:03.371,RX,02-22-58-7A-E0-07-09-12-A7-61-B4-03-06-1A-78-E0-81-07-1A-68-A0-81-07-22-98-A0-82-0B-2E-B8-E0-82-0B-2E-C8-20-83-0D-3A-E8-A0-83-0E-36-C8-E0-82-0B-2E-C8-20-83-0D-36-D8-A0-83-11-56-A8-E1-87-22-8A-E8-E1-85-0F-1E-28-E0-7F-00-0E-88-20-83-0F-3E-D8-60-82-07-1E-A8-20-84-14-5A-58-21-BE-03
18/09/2016 17:16:03.465,TX,02-23-00-00-03
18/09/2016 17:16:03.534,RX,02-21-20-9E-E0-07-09-12-9F-5F-B4-03-FF-FD-F7-DF-7F-FF-FD-F7-1F-80-00-02-08-20-80-00-02-08-20-80-00-02-08-A4-03
18/09/2016 17:16:03.649,RX,02-22-58-7B-E0-07-09-12-A3-62-B4-03-11-36-C8-60-83-10-4E-58-61-85-13-46-E8-20-83-09-1A-38-A0-80-02-0A-48-A0-81-08-2A-B8-20-83-0D-36-E8-E0-83-10-42-F8-A0-83-0D-32-B8-E0-82-0B-2E-C8-20-83-0D-3A-E8-A0-83-0E-3A-D8-20-83-0C-32-B8-E0-82-0A-26-98-20-82-08-26-98-60-82-09-26-98-20-42-03
18/09/2016 17:16:03.770,RX,02-23-00-00-03
18/09/2016 17:16:03.871,RX,02-22-58-7C-E0-07-09-12-9F-63-B4-03-09-26-98-A0-82-0C-3E-38-61-85-15-4E-F8-E0-82-08-1E-78-E0-81-07-1A-68-60-81-05-16-58-E0-81-09-2E-C8-20-83-0C-2E-A8-60-82-09-2A-B8-20-83-0C-36-E8-E0-83-10-46-18-A1-84-13-52-58-A1-85-16-5A-68-61-85-15-56-58-61-85-15-52-38-61-84-0F-3A-C8-20-C7-03
18/09/2016 17:16:04.057,RX,02-20-35-1F-E0-07-09-12-67-65-B4-03-59-00-98-00-00-80-E8-FF-02-00-04-00-31-10-03-00-E0-06-B8-01-A0-FF-A6-FF-1F-00-27-00-15-00-20-00-00-00-FF-FF-00-00-00-00-01-00-5A-80-5B-03
18/09/2016 17:16:04.174,RX,02-22-58-7D-E0-07-09-12-9B-64-B4-03-0C-32-C8-60-83-0D-36-D8-20-83-0C-32-C8-20-83-0C-2E-B8-A0-82-09-26-88-20-82-08-22-88-20-82-08-1E-78-E0-81-07-22-88-60-82-0B-32-D8-A0-83-0D-32-B8-E0-82-0B-2E-B8-20-83-0D-42-38-21-86-1D-86-38-A2-88-1C-56-D8-E0-81-04-12-88-20-83-11-4E-28-21-37-03-02-24-2D-2E-E0-07-09-12-07-62-B4-03-67-FD-67-FD-67-FD-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-37-03-FE-03
18/09/2016 17:16:04.362,RX,02-22-58-7E-E0-07-09-12-97-65-B4-03-0E-22-28-A0-7F-FE-09-A8-E0-84-18-66-58-21-84-0D-36-F8-60-84-12-46-08-21-84-0F-3E-E8-E0-82-08-1A-68-E0-81-09-32-F8-A0-84-15-5E-98-21-87-1D-7E-08-22-88-1F-7A-C8-61-86-17-5A-58-21-85-14-52-58-61-85-15-56-48-A1-84-11-42-F8-A0-83-0E-36-D8-20-C5-03
