SeqNo, Year, Month, Day, ms, ECG Data
,,,,,800
,,,,,798
,,,,,795
,,,,,792
,,,,,789
,,,,,786
,,,,,782
,,,,,778
,,,,,775
,,,,,775
,,,,,776
,,,,,777
,,,,,776
,,,,,771
,,,,,762
,,,,,751
,,,,,741
,,,,,734
,,,,,731
,,,,,730
,,,,,731
,,,,,732
,,,,,733
,,,,,733
,,,,,735
,,,,,736
,,,,,736
,,,,,732
,,,,,725
,,,,,716
,,,,,706
,,,,,698
,,,,,692
,,,,,689
,,,,,687
,,,,,686
,,,,,685
,,,,,686
,,,,,687
,,,,,689
,,,,,690
,,,,,690
,,,,,688
12,2016,09,17,47881400,685
,,,,,680
,,,,,676
,,,,,672
,,,,,669
,,,,,666
,,,,,662
,,,,,657
,,,,,651
,,,,,645
,,,,,639
,,,,,634
,,,,,629
,,,,,623
,,,,,618
,,,,,612
,,,,,606
,,,,,599
,,,,,591
,,,,,583
,,,,,575
,,,,,566
,,,,,556
,,,,,548
,,,,,540
,,,,,533
,,,,,526
,,,,,520
,,,,,514
,,,,,508
,,,,,501
,,,,,494
,,,,,487
,,,,,481
,,,,,476
,,,,,472
,,,,,470
,,,,,469
,,,,,468
,,,,,467
,,,,,466
,,,,,466
,,,,,464
,,,,,462
,,,,,460
,,,,,459
,,,,,457
,,,,,455
,,,,,454
,,,,,451
,,,,,448
,,,,,444
,,,,,439
,,,,,435
,,,,,431
,,,,,427
,,,,,423
,,,,,420
,,,,,416
,,,,,412
,,,,,407
,,,,,403
,,,,,398
13,2016,09,17,47881652,393
,,,,,388
,,,,,385
,,,,,382
,,,,,380
,,,,,378
,,,,,377
,,,,,375
,,,,,373
,,,,,370
,,,,,368
,,,,,364
,,,,,360
,,,,,356
,,,,,352
,,,,,348
,,,,,344
,,,,,341
,,,,,340
,,,,,340
,,,,,340
,,,,,340
,,,,,341
,,,,,342
,,,,,343
,,,,,344
,,,,,344
,,,,,345
,,,,,347
,,,,,348
,,,,,350
,,,,,354
,,,,,357
,,,,,361
,,,,,364
,,,,,366
,,,,,367
,,,,,366
,,,,,364
,,,,,361
,,,,,358
,,,,,356
,,,,,354
,,,,,352
,,,,,351
,,,,,349
,,,,,346
,,,,,341
,,,,,336
,,,,,331
,,,,,324
,,,,,319
,,,,,314
,,,,,310
,,,,,306
,,,,,301
,,,,,297
,,,,,293
,,,,,288
,,,,,281
,,,,,276
,,,,,270
,,,,,265
14,2016,09,17,47881904,259
,,,,,254
,,,,,248
,,,,,241
,,,,,233
,,,,,224
,,,,,215
,,,,,205
,,,,,196
,,,,,188
,,,,,182
,,,,,176
,,,,,171
,,,,,165
,,,,,159
,,,,,153
,,,,,147
,,,,,143
,,,,,140
,,,,,139
,,,,,139
,,,,,139
,,,,,140
,,,,,141
,,,,,142
,,,,,143
,,,,,144
,,,,,145
,,,,,146
,,,,,147
,,,,,149
,,,,,151
,,,,,153
,,,,,154
,,,,,154
,,,,,154
,,,,,154
,,,,,153
,,,,,153
,,,,,154
,,,,,156
,,,,,157
,,,,,159
,,,,,160
,,,,,162
,,,,,163
,,,,,165
,,,,,166
,,,,,168
,,,,,170
,,,,,171
,,,,,172
,,,,,174
,,,,,176
,,,,,177
,,,,,178
,,,,,179
,,,,,180
,,,,,181
,,,,,183
,,,,,186
,,,,,188
,,,,,190
15,2016,09,17,47882156,192
,,,,,194
,,,,,196
,,,,,199
,,,,,202
,,,,,206
,,,,,211
,,,,,216
,,,,,221
,,,,,226
,,,,,230
,,,,,233
,,,,,236
,,,,,238
,,,,,242
,,,,,245
,,,,,249
,,,,,252
,,,,,256
,,,,,260
,,,,,263
,,,,,266
,,,,,270
,,,,,274
,,,,,277
,,,,,281
,,,,,286
,,,,,291
,,,,,296
,,,,,301
,,,,,305
,,,,,309
,,,,,312
,,,,,315
,,,,,317
,,,,,320
,,,,,324
,,,,,327
,,,,,331
,,,,,336
,,,,,340
,,,,,343
,,,,,346
,,,,,349
,,,,,352
,,,,,355
,,,,,359
,,,,,365
,,,,,370
,,,,,375
,,,,,380
,,,,,384
,,,,,388
,,,,,391
,,,,,394
,,,,,397
,,,,,401
,,,,,405
,,,,,410
,,,,,414
,,,,,418
,,,,,420
,,,,,421
16,2016,09,17,47882408,422
,,,,,423
,,,,,424
,,,,,426
,,,,,428
,,,,,430
,,,,,432
,,,,,432
,,,,,432
,,,,,432
,,,,,431
,,,,,431
,,,,,434
,,,,,438
,,,,,443
,,,,,444
,,,,,442
,,,,,436
,,,,,428
,,,,,421
,,,,,415
,,,,,412
,,,,,411
,,,,,411
,,,,,412
,,,,,414
,,,,,419
,,,,,424
,,,,,428
,,,,,429
,,,,,425
,,,,,418
,,,,,410
,,,,,404
,,,,,401
,,,,,399
,,,,,398
,,,,,397
,,,,,395
,,,,,393
,,,,,390
,,,,,388
,,,,,386
,,,,,385
,,,,,384
,,,,,383
,,,,,384
,,,,,386
,,,,,389
,,,,,391
,,,,,394
,,,,,398
,,,,,401
,,,,,404
,,,,,407
,,,,,411
,,,,,414
,,,,,416
,,,,,418
,,,,,421
,,,,,423
,,,,,426
,,,,,429
17,2016,09,17,47882660,434
,,,,,439
,,,,,444
,,,,,448
,,,,,452
,,,,,455
,,,,,457
,,,,,459
,,,,,460
,,,,,461
,,,,,462
,,,,,462
,,,,,463
,,,,,464
,,,,,465
,,,,,466
,,,,,467
,,,,,468
,,,,,469
,,,,,470
,,,,,471
,,,,,473
,,,,,476
,,,,,480
,,,,,485
,,,,,490
,,,,,495
,,,,,500
,,,,,505
,,,,,511
,,,,,518
,,,,,524
,,,,,531
,,,,,538
,,,,,545
,,,,,550
,,,,,554
,,,,,558
,,,,,563
,,,,,567
,,,,,571
,,,,,575
,,,,,580
,,,,,584
,,,,,587
,,,,,590
,,,,,592
,,,,,593
,,,,,594
,,,,,595
,,,,,596
,,,,,597
,,,,,596
,,,,,594
,,,,,592
,,,,,588
,,,,,585
,,,,,582
,,,,,581
,,,,,582
,,,,,585
,,,,,587
,,,,,590
18,2016,09,17,47882912,594
,,,,,597
,,,,,598
,,,,,599
,,,,,599
,,,,,599
,,,,,598
,,,,,598
,,,,,599
,,,,,600
,,,,,601
,,,,,603
,,,,,605
,,,,,607
,,,,,609
,,,,,611
,,,,,613
,,,,,616
,,,,,619
,,,,,621
,,,,,622
,,,,,623
,,,,,622
,,,,,620
,,,,,617
,,,,,615
,,,,,612
,,,,,609
,,,,,607
,,,,,605
,,,,,603
,,,,,601
,,,,,598
,,,,,595
,,,,,592
,,,,,589
,,,,,587
,,,,,585
,,,,,585
,,,,,583
,,,,,582
,,,,,579
,,,,,577
,,,,,574
,,,,,570
,,,,,568
,,,,,567
,,,,,566
,,,,,565
,,,,,565
,,,,,566
,,,,,566
,,,,,566
,,,,,565
,,,,,564
,,,,,563
,,,,,562
,,,,,561
,,,,,562
,,,,,562
,,,,,562
,,,,,561
,,,,,560
19,2016,09,17,47883163,559
,,,,,558
,,,,,557
,,,,,558
,,,,,560
,,,,,562
,,,,,563
,,,,,565
,,,,,566
,,,,,566
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,566
,,,,,567
,,,,,568
,,,,,568
,,,,,568
,,,,,567
,,,,,566
,,,,,566
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,565
,,,,,564
,,,,,562
,,,,,561
,,,,,560
,,,,,559
,,,,,558
,,,,,559
,,,,,559
,,,,,559
,,,,,558
,,,,,555
