Time, Type, Data
26/09/2016 17:02:41.835,RX,02-24-2D-5B-E0-07-09-1A-09-92-A8-03-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-7E-03-02-22-58-6F-E0-07-09-1A-1D-95-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B7-EB-CE-7B-EE-AD-6B-2E-B8-DA-56-23-0D-34-CF-3B-F7-CC-33-CE-2F-9B-2C-F2-C8-27-AF-DC-B2-CB-30-CF-4C-F3-CC-30-BF-3C-F3-CE-44-33-4D-35-A3-03
26/09/2016 17:02:42.070,RX,02-22-58-70-E0-07-09-1A-1B-96-A8-03-5D-A3-4D-F7-DF-87-2F-AE-38-E2-88-33-6E-B9-E8-AF-DF-AE-7B-EE-B6-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-DF-8E-3B-EE-B5-BF-7E-BA-E7-94-37-BE-78-E3-92-57-5E-B9-E3-80-B3-7D-75-D0-2D-73-FC-30-C1-FA-BA-2B-2E-B5-C4-C6-CA-A9-A1-70-6A-19-24-6E-03
26/09/2016 17:02:42.186,RX,02-20-35-03-E0-07-09-1A-23-97-A8-03-33-00-83-00-00-80-DC-FF-01-00-03-00-7A-0F-07-00-EC-13-18-06-AA-FF-B2-FF-38-00-3E-00-FF-FF-04-00-00-00-FF-FF-00-00-00-00-01-00-3C-A0-E4-03-02-2B-47-6B-E0-07-09-1A-23-97-A8-03-02-33-00-83-00-00-80-DC-FF-01-00-03-00-7A-0F-3C-07-00-FF-FF-FF-EC-13-18-06-01-FF-FF-00-FF-FF-11-00-AA-FF-B2-FF-38-00-3E-00-FF-FF-04-00-0E-01-10-02-FE-00-0C-74-01-9F-01-A3-01-FB-01-00-00-C0-03
26/09/2016 17:02:42.329,RX,02-22-58-71-E0-07-09-1A-17-97-A8-03-25-1E-B8-1E-75-C4-E9-36-5B-6B-A7-89-E6-D9-66-99-65-A6-59-67-A1-99-96-9A-6A-A8-8D-C6-59-65-8E-1D-16-58-5E-6D-71-65-D4-4B-1B-29-A4-CF-3A-DB-28-93-4B-2A-98-1C-82-C7-1A-62-6C-51-05-14-4C-24-81-44-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-C7-03
26/09/2016 17:02:42.571,RX,02-22-58-72-E0-07-09-1A-13-98-A8-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-34-A1-04-10-34-D4-F0-C4-20-C5-F0-43-91-42-EC-34-53-0B-91-03
26/09/2016 17:02:42.671,TX,02-23-00-00-03
26/09/2016 17:02:42.687,RX,02-23-00-00-03
26/09/2016 17:02:42.787,RX,02-21-20-5C-E0-07-09-1A-FB-95-A8-03-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FD-F5-E7-9F-7F-FE-F9-07-A2-03-02-24-2D-5C-E0-07-09-1A-FB-95-A8-03-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-6D-03
26/09/2016 17:02:42.888,RX,02-22-58-73-E0-07-09-1A-0F-99-A8-03-AA-80-42-89-21-79-AC-F1-05-15-4C-20-71-44-12-4A-2C-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-24-81-C4-11-48-34-41-C5-17-6C-E0-31-C8-22-91-54-A2-49-28-AC-E0-52-0C-34-D8-74-F3-4D-37-DA-5C-53-0D-61-03
26/09/2016 17:02:43.072,RX,02-22-58-74-E0-07-09-1A-06-9A-A8-03-D4-48-D3-8C-31-BC-D4-02-CB-2B-AF-BC-E2-CA-2B-B2-E4-42-0C-35-E7-F0-33-11-4A-39-15-D5-54-55-5B-7D-35-D6-59-6C-C1-45-17-5E-7B-FD-35-58-62-92-71-66-1A-6C-B9-05-77-5C-73-D4-69-07-DE-78-E7-A5-C7-9E-7B-F0-C9-47-5F-7E-FF-1D-08-E1-85-1D-86-48-22-61-03
26/09/2016 17:02:43.188,RX,02-20-35-04-E0-07-09-1A-06-9B-A8-03-33-00-79-00-00-80-DD-FF-02-00-07-00-7A-0F-07-00-EC-13-D8-09-A6-FF-B1-FF-36-00-3C-00-FD-FF-06-00-00-00-FF-FF-00-00-00-00-01-00-3C-A0-41-03-02-2B-47-6C-E0-07-09-1A-06-9B-A8-03-02-33-00-79-00-00-80-DD-FF-02-00-07-00-7A-0F-3C-07-00-FF-FF-FF-EC-13-D8-09-01-FF-FF-00-FF-FF-19-00-A6-FF-B1-FF-36-00-3C-00-FD-FF-06-00-0E-01-10-02-FE-F8-0C-74-01-9E-01-A4-01-FB-01-00-00-5A-03
26/09/2016 17:02:43.341,RX,02-22-58-75-E0-07-09-1A-02-9B-A8-03-29-C2-B8-A3-91-51-6E-39-E6-9A-73-F2-59-A8-A3-99-9A-2A-6B-AE-BB-E6-7A-6B-AE-BF-1A-EB-6C-B5-DC-8E-BB-AE-BC-F6-E6-DB-2F-C1-0E-6B-7C-32-CD-3F-1F-FD-F4-D5-62-BB-AD-F7-E1-94-87-CE-3A-ED-B9-E7-7E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-3C-03
26/09/2016 17:02:43.581,RX,02-22-58-76-E0-07-09-1A-FE-9B-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-BB-ED-B6-DB-5E-3B-90-03
26/09/2016 17:02:43.683,TX,02-23-00-00-03
26/09/2016 17:02:43.734,RX,02-21-20-5D-E0-07-09-1A-E6-99-A8-03-FE-F9-E7-9F-7F-FE-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-F7-DF-7F-FF-FD-07-40-03
26/09/2016 17:02:43.850,RX,02-24-2D-5D-E0-07-09-1A-E6-99-A8-03-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-F3-08-C3-03-02-22-58-77-E0-07-09-1A-FA-9C-A8-03-B3-BF-BE-FA-E9-A5-93-7E-FA-EA-B0-D7-7E-7B-ED-B3-C7-0E-BB-EB-A9-8B-8E-39-E3-7E-C3-1D-F6-D4-46-F3-4C-33-CB-22-63-CC-30-C0-F3-9A-9B-ED-B3-C7-0A-FB-6B-AF-BA-DE-4A-AB-AC-AF-B6-DA-AA-AB-AF-BA-DA-2A-AB-AA-A2-6A-2A-A9-A4-96-7A-EA-AA-AD-B2-9A-2A-48-03
26/09/2016 17:02:44.071,RX,02-22-58-78-E0-07-09-1A-F9-9D-A8-03-A3-72-4A-E9-A2-84-FE-C9-E7-9E-7A-DE-19-E7-99-5C-4E-C9-64-92-49-2A-A9-A4-91-41-F2-A8-63-8E-3B-FA-08-24-90-3F-FA-E8-63-8F-3E-06-69-24-93-50-4A-39-25-95-54-52-59-A5-95-57-6A-D9-65-98-64-96-59-66-99-65-9E-A9-A6-9B-72-DA-89-A7-9E-7B-FA-39-28-F6-03
26/09/2016 17:02:44.186,RX,02-20-35-05-E0-07-09-1A-F1-9E-A8-03-33-00-79-00-00-80-DE-FF-02-00-06-00-7A-0F-06-00-EC-13-1C-07-A6-FF-AF-FF-36-00-3D-00-FF-FF-04-00-00-00-FF-FF-00-00-00-00-01-00-3C-A0-AB-03-02-2B-47-6D-E0-07-09-1A-F1-9E-A8-03-02-33-00-79-00-00-80-DE-FF-02-00-06-00-7A-0F-3C-06-00-FF-FF-FF-EC-13-1C-07-01-FF-FF-00-FF-FF-21-00-A6-FF-AF-FF-36-00-3D-00-FF-FF-04-00-0E-01-10-02-FE-00-0C-74-01-9F-01-A4-01-FB-01-00-00-A0-03
